Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
355;USA2;01:07.172;5.1;37.0;GBR1;01:05.868;5.3;38.0;AUS2;01:05.914;5.4;39.0;IRL1;01:08.192;5.2;41.0;ITA1;01:07.470;5.2;41.0;;00:00.000;0.0;0.0
360;USA2;01:08.241;5.1;37.0;GBR1;01:06.866;5.3;38.0;AUS2;01:06.939;5.4;39.0;IRL1;01:09.145;5.2;41.0;ITA1;01:08.373;5.2;41.0;;00:00.000;0.0;0.0
365;USA2;01:09.250;5.1;37.0;GBR1;01:07.696;5.3;38.0;AUS2;01:07.840;5.4;39.0;IRL1;01:10.039;5.2;41.0;ITA1;01:09.344;5.2;41.0;;00:00.000;0.0;0.0
370;USA2;01:10.176;5.1;37.0;GBR1;01:08.734;5.3;38.0;AUS2;01:08.774;5.3;39.0;IRL1;01:11.080;5.2;40.0;ITA1;01:10.357;5.2;41.0;;00:00.000;0.0;0.0
375;USA2;01:11.255;5.0;37.0;GBR1;01:09.647;5.3;38.0;AUS2;01:09.770;5.3;39.0;IRL1;01:12.014;5.2;40.0;ITA1;01:11.237;5.2;41.0;;00:00.000;0.0;0.0
380;USA2;01:12.155;5.0;37.0;GBR1;01:10.582;5.3;38.0;AUS2;01:10.603;5.3;39.0;IRL1;01:12.957;5.2;40.0;ITA1;01:12.249;5.2;41.0;;00:00.000;0.0;0.0
385;USA2;01:13.226;5.0;36.0;GBR1;01:11.580;5.3;38.0;AUS2;01:11.639;5.3;39.0;IRL1;01:13.984;5.2;40.0;ITA1;01:13.255;5.2;41.0;;00:00.000;0.0;0.0
390;USA2;01:14.250;5.0;36.0;GBR1;01:12.417;5.3;38.0;AUS2;01:12.551;5.3;39.0;IRL1;01:14.866;5.2;40.0;ITA1;01:14.125;5.2;41.0;;00:00.000;0.0;0.0
395;USA2;01:15.156;5.0;36.0;GBR1;01:13.465;5.3;38.0;AUS2;01:13.468;5.3;39.0;IRL1;01:15.893;5.1;40.0;ITA1;01:15.153;5.2;41.0;;00:00.000;0.0;0.0
400;USA2;01:16.226;5.0;36.0;GBR1;01:14.373;5.3;38.0;AUS2;01:14.466;5.3;39.0;IRL1;01:16.896;5.2;40.0;ITA1;01:16.141;5.2;40.0;;00:00.000;0.0;0.0
405;USA2;01:17.117;5.1;36.0;GBR1;01:15.319;5.3;38.0;AUS2;01:15.303;5.3;39.0;IRL1;01:17.765;5.2;40.0;ITA1;01:17.015;5.2;40.0;;00:00.000;0.0;0.0
410;USA2;01:18.179;5.1;36.0;GBR1;01:16.325;5.3;38.0;AUS2;01:16.328;5.3;39.0;IRL1;01:18.807;5.1;40.0;ITA1;01:18.063;5.2;40.0;;00:00.000;0.0;0.0
415;USA2;01:19.171;5.1;36.0;GBR1;01:17.164;5.3;38.0;AUS2;01:17.266;5.3;39.0;IRL1;01:19.806;5.2;40.0;ITA1;01:19.048;5.2;40.0;;00:00.000;0.0;0.0
420;USA2;01:20.082;5.1;36.0;GBR1;01:18.209;5.3;38.0;AUS2;01:18.172;5.3;39.0;IRL1;01:20.688;5.1;40.0;ITA1;01:19.930;5.2;40.0;;00:00.000;0.0;0.0
425;USA2;01:21.149;5.1;36.0;GBR1;01:19.125;5.3;38.0;AUS2;01:19.194;5.3;39.0;IRL1;01:21.745;5.1;40.0;ITA1;01:20.978;5.1;40.0;;00:00.000;0.0;0.0
430;USA2;01:22.040;5.1;36.0;GBR1;01:20.068;5.3;38.0;AUS2;01:20.040;5.3;39.0;IRL1;01:22.710;5.1;40.0;ITA1;01:21.950;5.2;40.0;;00:00.000;0.0;0.0
435;USA2;01:23.105;5.1;36.0;GBR1;01:21.083;5.3;38.0;AUS2;01:21.094;5.2;39.0;IRL1;01:23.628;5.1;40.0;ITA1;01:22.856;5.1;40.0;;00:00.000;0.0;0.0
440;USA2;01:24.141;5.0;36.0;GBR1;01:21.929;5.3;38.0;AUS2;01:22.072;5.2;38.0;IRL1;01:24.682;5.1;40.0;ITA1;01:23.906;5.1;40.0;;00:00.000;0.0;0.0
445;USA2;01:25.049;5.0;36.0;GBR1;01:22.992;5.2;38.0;AUS2;01:22.961;5.2;38.0;IRL1;01:25.637;5.1;40.0;ITA1;01:24.864;5.1;40.0;;00:00.000;0.0;0.0
450;USA2;01:26.149;5.0;36.0;GBR1;01:23.910;5.2;38.0;AUS2;01:24.011;5.2;38.0;IRL1;01:26.575;5.1;40.0;ITA1;01:25.795;5.1;40.0;;00:00.000;0.0;0.0
455;USA2;01:27.090;5.0;36.0;GBR1;01:24.888;5.2;38.0;AUS2;01:24.899;5.2;38.0;IRL1;01:27.621;5.1;40.0;ITA1;01:26.837;5.1;40.0;;00:00.000;0.0;0.0
460;USA2;01:28.137;4.9;36.0;GBR1;01:25.914;5.2;37.0;AUS2;01:25.913;5.1;38.0;IRL1;01:28.545;5.1;40.0;ITA1;01:27.780;5.1;40.0;;00:00.000;0.0;0.0
465;USA2;01:29.207;4.9;36.0;GBR1;01:26.775;5.1;37.0;AUS2;01:26.931;5.1;38.0;IRL1;01:29.548;5.1;40.0;ITA1;01:28.736;5.1;40.0;;00:00.000;0.0;0.0
470;USA2;01:30.113;4.9;36.0;GBR1;01:27.848;5.1;37.0;AUS2;01:27.800;5.1;38.0;IRL1;01:30.558;5.1;40.0;ITA1;01:29.770;5.1;40.0;;00:00.000;0.0;0.0
475;USA2;01:31.224;4.9;36.0;GBR1;01:28.773;5.1;37.0;AUS2;01:28.866;5.1;38.0;IRL1;01:31.430;5.1;40.0;ITA1;01:30.684;5.1;40.0;;00:00.000;0.0;0.0
480;USA2;01:32.200;4.9;36.0;GBR1;01:29.737;5.1;37.0;AUS2;01:29.804;5.1;38.0;IRL1;01:32.473;5.1;40.0;ITA1;01:31.676;5.1;40.0;;00:00.000;0.0;0.0
485;USA2;01:33.200;4.9;36.0;GBR1;01:30.752;5.2;37.0;AUS2;01:30.745;5.1;38.0;IRL1;01:33.493;5.1;40.0;ITA1;01:32.711;5.1;40.0;;00:00.000;0.0;0.0
490;USA2;01:34.272;4.9;36.0;GBR1;01:31.642;5.2;37.0;AUS2;01:31.778;5.2;38.0;IRL1;01:34.379;5.1;40.0;ITA1;01:33.625;5.1;40.0;;00:00.000;0.0;0.0
495;USA2;01:35.164;4.9;36.0;GBR1;01:32.672;5.2;37.0;AUS2;01:32.656;5.2;38.0;IRL1;01:35.452;5.1;39.0;ITA1;01:34.641;5.1;40.0;;00:00.000;0.0;0.0
500;USA2;01:36.264;5.0;36.0;GBR1;01:33.597;5.2;37.0;AUS2;01:33.694;5.2;38.0;IRL1;01:36.459;5.1;39.0;ITA1;01:35.677;5.1;40.0;;00:00.000;0.0;0.0
505;USA2;01:37.245;5.0;36.0;GBR1;01:34.555;5.2;37.0;AUS2;01:34.667;5.2;38.0;IRL1;01:37.399;5.1;39.0;ITA1;01:36.584;5.1;40.0;;00:00.000;0.0;0.0
510;USA2;01:38.217;5.0;36.0;GBR1;01:35.571;5.2;37.0;AUS2;01:35.586;5.2;38.0;IRL1;01:38.447;5.0;39.0;ITA1;01:37.621;5.0;40.0;;00:00.000;0.0;0.0
515;USA2;01:39.284;5.0;36.0;GBR1;01:36.424;5.2;37.0;AUS2;01:36.630;5.1;38.0;IRL1;01:39.416;5.0;39.0;ITA1;01:38.650;5.0;40.0;;00:00.000;0.0;0.0
520;USA2;01:40.172;5.0;36.0;GBR1;01:37.486;5.2;37.0;AUS2;01:37.495;5.1;38.0;IRL1;01:40.394;5.0;39.0;ITA1;01:39.532;5.1;40.0;;00:00.000;0.0;0.0
